#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
  20700      6.56e-01    9.21e-01      2.57e-02    2.58e-02      2.30e-02    3.22e-02    8.1e-04
  20800      8.76e-01    8.12e-01      1.85e-02    1.78e-02      3.07e-02    2.84e-02    8.1e-04
  20900      8.86e-01    1.09e+00      4.65e-03    4.87e-03      3.11e-02    3.81e-02    8.1e-04
  21000      1.27e+00    1.35e+00      1.06e-02    1.06e-02      4.45e-02    4.74e-02    8.1e-04
  21100      5.51e-01    4.83e-01      1.25e-02    1.27e-02      1.93e-02    1.69e-02    8.1e-04
  21200      8.15e-01    6.38e-01      5.64e-02    5.65e-02      2.85e-02    2.22e-02    8.1e-04
  21300      8.42e-01    9.83e-01      4.14e-03    4.30e-03      2.95e-02    3.44e-02    8.1e-04
  21400      1.44e+00    1.43e+00      4.82e-02    4.84e-02      5.03e-02    5.00e-02    8.1e-04
  21500      1.08e+00    1.01e+00      9.28e-04    1.02e-03      3.79e-02    3.54e-02    8.1e-04
  21600      1.34e+00    7.69e-01      1.94e-02    1.85e-02      4.71e-02    2.69e-02    8.1e-04
  21700      1.39e+00    1.18e+00      2.50e-02    2.52e-02      4.88e-02    4.12e-02    8.1e-04
  21800      1.02e+00    1.52e+00      8.55e-02    8.64e-02      3.57e-02    5.31e-02    8.1e-04
  21900      7.94e-01    8.78e-01      1.78e-02    1.75e-02      2.78e-02    3.07e-02    8.1e-04
  22000      1.90e+00    2.01e+00      8.83e-03    8.69e-03      6.67e-02    7.06e-02    8.1e-04
  22100      1.14e+00    1.19e+00      2.68e-02    2.70e-02      4.01e-02    4.16e-02    8.1e-04
  22200      1.14e+00    1.08e+00      1.41e-02    1.41e-02      3.99e-02    3.80e-02    8.1e-04
  22300      1.15e+00    1.17e+00      3.61e-02    3.53e-02      4.03e-02    4.08e-02    8.1e-04
  22400      7.38e-01    6.39e-01      2.68e-03    2.26e-03      2.59e-02    2.24e-02    8.1e-04
  22500      8.02e-01    1.12e+00      3.08e-02    3.09e-02      2.81e-02    3.91e-02    8.1e-04
  22600      8.00e-01    3.87e-01      3.99e-03    3.95e-03      2.80e-02    1.35e-02    8.1e-04
  22700      1.70e+00    1.93e+00      1.22e-02    1.21e-02      5.94e-02    6.78e-02    8.1e-04
  22800      1.04e+00    8.31e-01      6.46e-03    6.85e-03      3.65e-02    2.91e-02    8.1e-04
  22900      1.23e+00    1.05e+00      6.32e-03    6.50e-03      4.30e-02    3.68e-02    8.1e-04
  23000      8.18e-01    7.17e-01      3.92e-02    3.90e-02      2.86e-02    2.51e-02    8.1e-04
  23100      1.29e+00    1.39e+00      5.76e-03    6.20e-03      4.53e-02    4.86e-02    8.1e-04
  23200      6.14e-01    7.03e-01      1.44e-02    1.41e-02      2.15e-02    2.46e-02    8.1e-04
  23300      1.77e+00    1.55e+00      6.08e-02    6.13e-02      6.19e-02    5.41e-02    8.1e-04
  23400      8.39e-01    5.17e-01      4.62e-02    4.57e-02      2.93e-02    1.80e-02    8.1e-04
  23500      7.34e-01    6.82e-01      2.76e-02    2.74e-02      2.57e-02    2.39e-02    8.1e-04
  23600      9.90e-01    1.11e+00      3.06e-02    3.04e-02      3.47e-02    3.89e-02    8.1e-04
  23700      1.01e+00    9.96e-01      2.23e-02    2.22e-02      3.55e-02    3.49e-02    8.1e-04
  23800      8.62e-01    1.21e+00      3.12e-02    3.08e-02      3.02e-02    4.23e-02    8.1e-04
  23900      5.06e-01    1.07e+00      7.97e-02    7.95e-02      1.75e-02    3.74e-02    8.1e-04
  24000      8.35e-01    7.74e-01      1.39e-02    1.40e-02      2.93e-02    2.71e-02    8.1e-04
  24100      5.29e-01    9.65e-01      9.97e-03    9.94e-03      1.85e-02    3.38e-02    8.1e-04
  24200      6.80e-01    5.55e-01      1.31e-02    1.32e-02      2.38e-02    1.94e-02    8.1e-04
  24300      7.60e-01    1.08e+00      6.46e-03    6.67e-03      2.66e-02    3.79e-02    8.1e-04
  24400      1.57e+00    1.43e+00      2.19e-02    2.16e-02      5.50e-02    5.02e-02    8.1e-04
  24500      1.25e+00    1.05e+00      2.00e-02    2.02e-02      4.39e-02    3.68e-02    8.1e-04
  24600      1.67e+00    1.62e+00      1.42e-02    1.32e-02      5.86e-02    5.69e-02    8.1e-04
  24700      1.94e+00    1.95e+00      6.09e-02    6.04e-02      6.78e-02    6.83e-02    8.1e-04
  24800      6.33e-01    7.27e-01      3.09e-02    3.07e-02      2.21e-02    2.54e-02    8.1e-04
  24900      1.34e+00    1.12e+00      2.07e-03    1.87e-03      4.69e-02    3.93e-02    8.1e-04
  25000      7.62e-01    9.37e-01      1.57e-02    1.55e-02      2.74e-02    3.37e-02    7.7e-04
  25100      4.35e-01    3.27e-01      2.00e-02    2.00e-02      1.56e-02    1.17e-02    7.7e-04
  25200      2.74e-01    3.19e-01      2.44e-02    2.42e-02      9.77e-03    1.14e-02    7.7e-04
  25300      4.59e-01    4.16e-01      2.31e-02    2.33e-02      1.64e-02    1.49e-02    7.7e-04
  25400      4.56e-01    3.97e-01      1.58e-02    1.57e-02      1.64e-02    1.43e-02    7.7e-04
